Node ID,openEHR Name,EPS Name,openEHR Description,openEHR Comment,EPS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EPS Cardinality,EPS Binding,Concept Map,openEHR Path,EPS Path,MappingNotes
openEHR-EHR-SECTION.adhoc.v1,EPS History of Procedures,sectionProceduresHx,A generic section header which should be renamed in a template to suit a specific clinical context.,,The History of Procedures Section contains a description of the patient past procedures that are pertinent to the scope of this document.,1..1,Section,,1..1,,,/,Composition.section:sectionProceduresHx,
openEHR-EHR-EVALUATION.exclusion_global.v1,Exclusion - global,,An overall statement of exclusion about all Problems/diagnoses Family history Medications Procedures Adverse reactions or other clinical items that are either not currently present or have not been present in the past.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1],,
,Global exclusion of procedures,sectionProceduresHx.emptyReason,Overall statement of exclusion about all procedures at the time of recording.,For example: 'No previous diagnoses' 'No known family history' 'No known history of adverse reactions' 'Never taken any medications' or 'No known operations or significant procedures'.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,1..1,Text,,0..1,The codes SHOULD be taken from ListEmptyReasons (preferred to http://hl7.org/fhir/ValueSet/list-empty-reason|4.0.1) If a section is empty why it is empty.,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1]/data[at0001]/items[at0002'Global exclusion of procedures']/value,Composition.section:sectionProceduresHx.emptyReason,
openEHR-EHR-EVALUATION.absence.v2,Absence of information,,Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.absence.v2],,
,Absence statement,,Positive statement that no information is available.,For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.,,1..1,Text,,,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value,,
,Reason for absence,sectionProceduresHx.emptyReason,Description of the reason why there is no information available.,For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,0..1,Text,,0..1,The codes SHOULD be taken from ListEmptyReasons (preferred to http://hl7.org/fhir/ValueSet/list-empty-reason|4.0.1) If a section is empty why it is empty.,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value,Composition.section:sectionProceduresHx.emptyReason,
openEHR-EHR-EVALUATION.container.v0,Container,,Generic archetype to contain existing CLUSTER archetypes which need to be represented as standalone data.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.container.v0],,
,FHIR Narrative,,This cluster is intended to support the recording of FHIR narrative ingested that does not have a more natural target within existing archetypes. ,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0],,
,Narrative,sectionProceduresHx.text,The narrative carried in the div element in FHIR,,A human-readable narrative that contains the attested content of the section used to represent the content of the resource to a human. The narrative need not encode all the structured data but is required to contain sufficient detail to make it clinically safe for a human to just read the narrative.,0..1,Parsable text,,1..1,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0002]/value,Composition.section:sectionProceduresHx.text,
,Status,,"The status of the narrative - whether it's entirely generated (from just the defined data or the extensions too) or whether a human authored it and it may contain additional data.

",FHIR Codesystem: generated | extensions | additional | empty,,0..1,Text,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0001]/value,,
openEHR-EHR-ACTION.procedure.v1,Procedure,Procedure,A clinical activity carried out for screening investigative diagnostic curative therapeutic evaluative or palliative purposes.,,An action that is or was performed on or for a patient. This can be a physical intervention like an operation or less invasive like long term services counseling or hypnotherapy.,0..*,Action,,0..*,,,/items[openEHR-EHR-ACTION.procedure.v1],Procedure,
,current_state,,,,,1..1,CodedText," active local:245
 aborted local:531
 completed local:532
 planned local:526
 postponed local:527
 cancelled local:528",,,,/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/current_state,,
,transition,,,,,0..1,CodedText,local,,,,/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/transition,,
,careflow_step,,`ISM_TRANSITION.care_flow_step` - The step in the careflow process which occurred as part of generating this action e.g. dispense  start_administration. This attribute represents the clinical label for the activity as opposed to current_state which represents the state machine (ISM) computable form. Defined in archetype.,,,0..1,CodedText," Procedure planned local:at0004
 Procedure postponed local:at0038
 Procedure cancelled local:at0039
 Procedure commenced local:at0068
 Procedure aborted local:at0041
 Procedure completed local:at0043",,,,/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/careflow_step,,
,time,,`ACTION.time` - Point in time at which this action took place.,,,1..1,DateTime,,,,,/items[openEHR-EHR-ACTION.procedure.v1]/time,,
,Procedure name,code,Identification of the procedure by name.,Coding of the 'Procedure name' with a terminology is recommended if available.,Identification of the procedure or recording of absence of relevant procedures or of procedures unknown.,1..1,Text,,1..1,The codes SHOULD be taken from Procedures - IPS (preferred to http://hl7.org/fhir/uv/ips/ValueSet/procedures-uv-ips),,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[at0002]/value,Procedure.code,
,Indication,reasonCode,The clinical or process-related reason for the procedure.,For example: 'Failed bowel preparation' or 'Bowel cancer screening'. Coding of the 'Indication' with a terminology is recommended if available.  This data element allows multiple occurrences to enable the user to record multiple responses if required.,The coded reason why the procedure was performed. This may be a coded entity of some type or may simply be present as text.,0..*,Text,,0..*,For example codes see ProcedureReasonCodes (example to http://hl7.org/fhir/ValueSet/procedure-reason|4.0.1) A code that identifies the reason a procedure is required.,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[at0070]/value,Procedure.reasonCode,
,Body site,bodySite,Identification of the body site for the procedure.,Occurrences for this data element are unbounded to allow for clinical scenarios such as removing multiple skin lesions in different places but where all of the other attributes are identical. Use this data element to record simple terms or precoordinated anatomical locations. If the requirements for recording the anatomical location are determined at run-time by the application or require more complex modelling such as relative locations then use the CLUSTER.anatomical_location or CLUSTER.relative_location within the 'Procedure detail' SLOT in this archetype. If the anatomical location is included in the 'Procedure name' via precoordinated codes this data element becomes redundant.,Anatomical location which is the focus of the problem.,0..*,Text,,0..*,The codes SHOULD be taken from SNOMEDCTBodyStructures (preferred to http://hl7.org/fhir/ValueSet/body-site),,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[at0063]/value,Procedure.bodySite,
,Focal device,focalDevice,An instrument apparatus implant material or similar used in the provision of healthcare. In this context a medical device includes a broad range of devices which act through a variety of physical mechanical thermal or similar means but specifically excludes devices which act through medicinal means such as pharmacological metabolic or immunological methods.  The scope is inclusive of disposable devices as well as durable or persisting devices that require tracking maintenance activities or regular calibration recognising that each type of device has specific data recording requirements.,,A device that is implanted removed or otherwise manipulated (calibration battery replacement fitting a prosthesis attaching a wound-vac etc.) as a focal portion of the Procedure.,0..*,Cluster,,0..*,,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[openEHR-EHR-CLUSTER.device.v1'Focal device'],Procedure.focalDevice,
,Device name,focalDevice.manipulated,Identification of the medical device preferably by a common name a formal fully descriptive name or if required by class or category of device.,"This data element will capture the term phrase or category used in clinical practice. For example: <brand name><machine> (XYZ Audiometer); <size> <brand name> <intravenous catheter> (14G Jelco IV catheter); or <brand name/type> <implant>. Coding with a terminology is desirable where possible although this may be local and depending on local supplies available.
",The device that was manipulated (changed) during the procedure.,1..1,Text,,1..1,,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[openEHR-EHR-CLUSTER.device.v1'Focal device']/items[at0001]/value,Procedure.focalDevice.manipulated,
,Used device,usedReference,An instrument apparatus implant material or similar used in the provision of healthcare. In this context a medical device includes a broad range of devices which act through a variety of physical mechanical thermal or similar means but specifically excludes devices which act through medicinal means such as pharmacological metabolic or immunological methods.  The scope is inclusive of disposable devices as well as durable or persisting devices that require tracking maintenance activities or regular calibration recognising that each type of device has specific data recording requirements.,,Identifies medications devices and any other substance used as part of the procedure.,0..1,Cluster,,0..*,,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[openEHR-EHR-CLUSTER.device.v1'Used device'],Procedure.usedReference,
,Device name,,Identification of the medical device preferably by a common name a formal fully descriptive name or if required by class or category of device.,"This data element will capture the term phrase or category used in clinical practice. For example: <brand name><machine> (XYZ Audiometer); <size> <brand name> <intravenous catheter> (14G Jelco IV catheter); or <brand name/type> <implant>. Coding with a terminology is desirable where possible although this may be local and depending on local supplies available.
",,1..1,Text,,,,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[openEHR-EHR-CLUSTER.device.v1'Used device']/items[at0001]/value,,
,Type,usedCode,The category or kind of device.,"Not applicable if a category is already recorded in 'Device name'.
 Example: if the 'Device' is named as a 'urinary catheter'; the 'Type' may be recorded as 'indwelling' or 'condom'.Coding with a terminology is desirable where possible. This may include use of GTIN or EAN numbers.",Identifies coded items that were used as part of the procedure.,0..1,Text,,0..*,,,/items[openEHR-EHR-ACTION.procedure.v1]/description[at0001]/items[openEHR-EHR-CLUSTER.device.v1'Used device']/items[at0003]/value,Procedure.usedCode,
