Node ID,openEHR Name,EHDS Name,openEHR Description,openEHR Comment,EHDS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EHDS Cardinality,EHDS Binding,Concept Map,openEHR Path,EHDS Path,MappingNotes
openEHR-EHR-SECTION.adhoc.v1,EPS Problems,sectionProblems,A generic section header which should be renamed in a template to suit a specific clinical context.,,The EPS problem section lists and describes clinical problems or conditions currently being monitored for the patient.,1..1,Section,,1..1,,,/,Composition.section:sectionProblems,
openEHR-EHR-EVALUATION.exclusion_global.v1,Exclusion - global,,An overall statement of exclusion about all Problems/diagnoses Family history Medications Procedures Adverse reactions or other clinical items that are either not currently present or have not been present in the past.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1],,
,Global exclusion of problems/diagnoses,sectionProblems.emptyReason,Overall statement of exclusion of all problems or diagnoses at the time of recording.,For example: 'No previous diagnoses' 'No known family history' 'No known history of adverse reactions' 'Never taken any medications' or 'No known operations or significant procedures'.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,1..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1]/data[at0001]/items[at0002'Global exclusion of problems/diagnoses']/value,Composition.section:sectionProblems.emptyReason,"In openEHR, the reason why a problem list is empty can be handled by two separate archetypes (Exclusion - global and Absence of information), whereas in FHIR the reasons are combined in a single valueset."
openEHR-EHR-EVALUATION.absence.v2,Absence of information,,Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.absence.v2],,
,Absence statement,,Positive statement that no information is available.,For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.,,1..1,Text,,,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value,,
,Reason for absence,sectionProblems.emptyReason,Description of the reason why there is no information available.,For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value,Composition.section:sectionProblems.emptyReason,"In openEHR, the reason why a problem list is empty can be handled by two separate archetypes (Exclusion - global and Absence of information), whereas in FHIR the reasons are combined in a single valueset."
openEHR-EHR-EVALUATION.container.v0,Container,,Generic archetype to contain existing CLUSTER archetypes which need to be represented as standalone data.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.container.v0],,
,FHIR Narrative,,This cluster is intended to support the recording of FHIR narrative ingested that does not have a more natural target within existing archetypes. ,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0],,
,Narrative,sectionProblems.text,The narrative carried in the div element in FHIR,,A human-readable narrative that contains the attested content of the section used to represent the content of the resource to a human. The narrative need not encode all the structured data but is required to contain sufficient detail to make it clinically safe for a human to just read the narrative.,0..1,Parsable text,,1..1,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0002]/value,Composition.section:sectionProblems.text,
,Status,,"The status of the narrative - whether it's entirely generated (from just the defined data or the extensions too) or whether a human authored it and it may contain additional data.

",FHIR Codesystem: generated | extensions | additional | empty,,0..1,Text,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0001]/value,,
openEHR-EHR-EVALUATION.problem_diagnosis.v1,Problem/Diagnosis,Condition,Details about a single identified health condition injury disability or any other issue which impacts on the physical mental and/or social well-being of an individual.,Clear delineation between the scope of a problem versus a diagnosis is not easy to achieve in practice. For the purposes of clinical documentation with this archetype problem and diagnosis are regarded as a continuum with increasing levels of detail and supportive evidence usually providing weight towards the label of 'diagnosis'.,A clinical condition problem diagnosis or other event situation issue or clinical concept that has risen to a level of concern.,0..*,Evaluation,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1],Condition,"The definitions of the concept mean the same thing, but the openEHR archetype explicitly excludes differential diagnoses, details about pregnancy and assessments about health risk or potential problems."
,Problem/Diagnosis name,code,Identification of the problem or diagnosis by name.,Coding of the name of the problem or diagnosis with a terminology is preferred where possible.,The problem code specifies the problem. Depending on the setting different code systems can be used. The ProblemCodelist provides an overview of the possible code systems.,1..1,CodedText, http://hl7.org/fhir/uv/ips/ValueSet/problems-uv-ips,1..1,The codes SHOULD be taken from Problems - IPS . (preferred to http://hl7.org/fhir/uv/ips/ValueSet/problems-uv-ips) Valueset to describe the actual problem experienced by the patient,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0002]/value,Condition.code,
,Body site,bodySite,Identification of a simple body site for the location of the problem or diagnosis.,"Coding of the name of the anatomical location with a terminology is preferred where possible.
Use this data element to record precoordinated anatomical locations. If the requirements for recording the anatomical location are determined at run-time by the application or require more complex modelling such as relative locations then use the CLUSTER.anatomical_location or CLUSTER.relative_location within the 'Structured anatomical location' SLOT in this archetype. Occurrences for this data element are unbounded to allow for clinical scenarios such as describing a rash in multiple locations but where all of the other attributes are identical. If the anatomical location is included in the Problem/diagnosis name via precoordinated codes this data element becomes redundant.",The anatomical location where this condition manifests itself.,0..*,CodedText, http://hl7.org/fhir/ValueSet/body-site,0..*,The codes SHOULD be taken from SNOMEDCTBodyStructures (preferred to http://hl7.org/fhir/ValueSet/body-site),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0012]/value,Condition.bodySite,
,Date/time of onset,onset[x]:onsetDateTime,Estimated or actual date/time that signs or symptoms of the problem/diagnosis were first observed.,Data captured/imported as Age at onset should be converted to a date using the subject's date of birth.,Onset of the symptom complaint functional limitation complication or date of diagnosis. A â€˜vagueâ€™ date such as only the year or the month and the year is permitted.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0077]/value,Condition.onset[x]:onsetDateTime,"In FHIR, onset is a choice of dateTime, Age, Period, Range or string."
,Severity,severity,An assessment of the overall severity of the problem or diagnosis.,If severity is included in the Problem/diagnosis name via precoordinated codes this data element becomes redundant. Note: more specific grading of severity can be recorded using the Specific details SLOT.,A subjective assessment of the severity of the condition as evaluated by the clinician.,0..1,CodedText," Mild local:at0047
 Moderate local:at0048
 Severe local:at0049
-Other Text/CodedText allowed",0..1,The codes SHOULD be taken from Condition/DiagnosisSeverity (preferred to http://hl7.org/fhir/ValueSet/condition-severity),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0005]/value,Condition.severity,
,Stage,stage,Details about findings that support a clinical assertion.,,Clinical stage or grade of a condition. May include formal severity assessments.,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1'Stage'],Condition.stage,
,Evidence,stage.type,Identification of an item of clinical evidence by name or type either as a single result or as a grouping of results.,It is recommended that 'Evidence' should be coded with a terminology where possible.  For example: 'Mantoux test' 'AFP level' 'tumour volume' 'genetic tests' 'BRCA1 test' 'histopathology result' 'physical examination finding' 'intraoperative finding' 'FIGO stage' 'symptom' 'tumour grading' 'clinical impression'. For use cases where the evidence is sufficiently identified in 'Result' or 'Structured result' this data element may be redundant and has therefore been made optional.,The kind of staging such as pathological or clinical staging.,0..1,Text,,0..1,For example codes see ConditionStageType (example to http://hl7.org/fhir/ValueSet/condition-stage-type|4.0.1) Codes describing the kind of condition staging (e.g. clinical or pathological).,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1'Stage']/items[at0003]/value,Condition.stage.type,
