Node ID,openEHR Name,EPS Name,openEHR Description,openEHR Comment,EPS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EPS Cardinality,EPS Binding,Concept Map,openEHR Path,EPS Path,MappingNotes
openEHR-EHR-SECTION.adhoc.v1,EPS Allergies,sectionAllergies,A generic section header which should be renamed in a template to suit a specific clinical context.,,This section documents the relevant allergies or intolerances for that patient describing the kind of reaction - e.g. rash anaphylaxis.. - preferably the agents that cause it; and optionally the criticality and the certainty of the allergy. At a minimum it should list currently active and any relevant historical allergies and adverse reactions. If no information about allergies is available or if no allergies are known this should be clearly documented in the section.,1..1,Section,,1..1,,,/,Composition.section:sectionAllergies,
openEHR-EHR-EVALUATION.exclusion_global.v1,Exclusion - global,,An overall statement of exclusion about all Problems/diagnoses Family history Medications Procedures Adverse reactions or other clinical items that are either not currently present or have not been present in the past.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1],,
,Global exclusion of adverse reactions,sectionAllergies.emptyReason,Overall statement of exclusion about all adverse reactions at the time of recording.,For example: 'No previous diagnoses' 'No known family history' 'No known history of adverse reactions' 'Never taken any medications' or 'No known operations or significant procedures'.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,1..1,Text,,0..1,The codes SHOULD be taken from ListEmptyReasons (preferred to http://hl7.org/fhir/ValueSet/list-empty-reason|4.0.1) If a section is empty why it is empty.,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1]/data[at0001]/items[at0002'Global exclusion of adverse reactions']/value,Composition.section:sectionAllergies.emptyReason,"In openEHR, the reason why a problem list is empty can be handled by two separate archetypes (Exclusion - global and Absence of information), whereas in FHIR the reasons are combined in a single valueset."
openEHR-EHR-EVALUATION.absence.v2,Absence of information,,Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.absence.v2],,
,Absence statement,,Positive statement that no information is available.,For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.,,1..1,Text,,,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value,,
,Reason for absence,sectionAllergies.emptyReason,Description of the reason why there is no information available.,For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,0..1,Text,,0..1,The codes SHOULD be taken from ListEmptyReasons (preferred to http://hl7.org/fhir/ValueSet/list-empty-reason|4.0.1) If a section is empty why it is empty.,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value,Composition.section:sectionAllergies.emptyReason,"In openEHR, the reason why a problem list is empty can be handled by two separate archetypes (Exclusion - global and Absence of information), whereas in FHIR the reasons are combined in a single valueset."
openEHR-EHR-EVALUATION.clinical_synopsis.v1,Clinical synopsis,,Narrative summary or overview about a patient specifically from the perspective of a healthcare provider and with or without associated interpretations.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.clinical_synopsis.v1],,
,Synopsis,sectionAllergies.text,The summary assessment conclusions or evaluation of the clinical findings.,,A human-readable narrative that contains the attested content of the section used to represent the content of the resource to a human. The narrative need not encode all the structured data but is required to contain sufficient detail to make it clinically safe for a human to just read the narrative.,1..1,Text,,1..1,,,/items[openEHR-EHR-EVALUATION.clinical_synopsis.v1]/data[at0001]/items[at0002]/value,Composition.section:sectionAllergies.text,
openEHR-EHR-EVALUATION.adverse_reaction_risk.v2,Adverse reaction risk,AllergyIntolerance,Clinical assessment of the propensity for an individual to experience a harmful or undesirable physiological response if exposed or re-exposed to a substance.,Substances include but are not limited to: a therapeutic substance administered correctly at an appropriate dosage for the individual; food; material derived from plants or animals; or venom from insect stings.,Risk of harmful or undesirable physiological response which is unique to an individual and associated with exposure to a substance.,0..*,Evaluation,,0..*,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2],AllergyIntolerance,
,Substance,code,Identification of a substance or substance class that is considered to put the individual at risk of an adverse reaction event.,Both an individual substance and a substance class are valid entries in 'Substance'. A substance may be a compound of simpler substances for example a medicinal product. It is strongly recommended that the 'Substance' is coded with a terminology capable of triggering decision support where possible. For example: Snomed CT DM+D RxNorm NDFRT ATC New Zealand Universal List of Medicines and Australian Medicines Terminology. Free text entry should only be used if there is no appropriate terminology available.,Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g. Latex) an allergy or intolerance condition (e.g. Latex allergy) or a negated/excluded code for a specific substance or class (e.g. No latex allergy) or a general or categorical negated statement (e.g. No known allergy No known drug allergies). Note: the substance for a specific reaction may be different from the substance identified as the cause of the risk but it must be consistent with it. For instance it may be a more specific substance (e.g. a brand medication) or a composite product that includes the identified substance. It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'. If a receiving system is unable to confirm that AllergyIntolerance.reaction.substance falls within the semantic scope of AllergyIntolerance.code then the receiving system should ignore AllergyIntolerance.reaction.substance.,1..1,CodedText, http://hl7.org/fhir/uv/ips/ValueSet/allergies-intolerances-uv-ips,1..1,The codes SHOULD be taken from Allergies & Intolerances - IPS (preferred to http://hl7.org/fhir/uv/ips/ValueSet/allergies-intolerances-uv-ips) Type of the substance/product allergy or intolerance condition or a code for absent/unknown allergy.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0002]/value,AllergyIntolerance.code,"The FHIR profile can be used for modelling allergy or intolerance conditions, but in openEHR the Problem/Diagnosis archetype is used instead"
